flowKey,minFiat,meanFiat,maxFiat,stdFiat,minBiat,meanBiat,maxBiat,stdBiat,minFpkt,meanFpkt,maxFpkt,stdFpkt,minBpkt,meanBpkt,maxBpkt,stdBpkt,protocol,duration,hasRTCP,fPackets,fBytes,bPackets,bBytes,label
"TCP: 172.16.105.71:57187,175.27.0.70:8081",92,20459,40826,20367,97090,97090,97090,0,0,377,1131,533.1585130146568,0,0,0,0,6,137868,0,3,1131,2,0,No Label
"TCP: 109.244.170.221:8004,172.16.105.71:57860",3,20617.666666666668,61691,29043.302352789626,0,0,0,0,0,78,312,135.09996299037243,0,0,0,0,6,61853,0,4,312,1,0,No Label
"TCP: 14.17.5.229:8081,192.168.190.253:55377",56,18457.666666666668,55253,26018.22992100389,0,0,0,0,0,226.75,907,392.7425206162429,0,0,0,0,6,55373,0,4,907,1,0,No Label
"TCP: 109.244.216.125:8081,172.16.105.71:64555",54,357794,1014099,464706.079097315,0,0,0,0,0,0,0,0,0,0,0,0,6,1073382,0,4,0,1,0,No Label
"TCP: 43.137.23.229:443,172.16.105.71:65284",15,30730,83094,37211.46293818613,0,0,0,0,0,129.25,517,223.8675668782774,0,0,0,0,6,92190,0,4,517,1,0,No Label
"TCP: 183.2.143.214:8081,192.168.190.253:55477",48,16707.666666666668,50019,23554.669916789084,0,0,0,0,0,246.75,987,427.38353676762046,0,0,0,0,6,50123,0,4,987,1,0,No Label
"TCP: 121.51.130.246:443,172.16.105.71:64447",51,44178,132343,62342.07995139933,0,0,0,0,0,83.5,334,144.62624243200125,0,0,0,0,6,132534,0,4,334,1,0,No Label
"TCP: 121.51.191.86:443,172.16.105.71:57631",21,9445.666666666666,27980,13106.383694809014,0,0,0,0,0,129.25,517,223.8675668782774,0,0,0,0,6,28337,0,4,517,1,0,No Label
"TCP: 183.2.143.214:8081,192.168.190.253:55459",14,30221,90578,42678.85033596852,0,0,0,0,0,340,1360,588.8972745734183,0,0,0,0,6,90663,0,4,1360,1,0,No Label
"TCP: 42.81.183.203:14000,172.16.105.71:56356",2322,21937.5,41553,19615.5,48697,48697,48697,0,0,0,0,0,0,0,0,0,6,90209,0,3,0,2,0,No Label
"TCP: 172.16.105.71:57424,180.102.59.60:443",46,7832.666666666667,23347,10970.316748187153,0,0,0,0,0,78.25,313,135.53297569226464,0,0,0,0,6,23498,0,4,313,1,0,No Label
"TCP: 172.16.105.71:65053,175.27.203.138:8008",90,68995.33333333333,206528,97250.34745896228,0,0,0,0,0,78,312,135.09996299037243,0,0,0,0,6,206986,0,4,312,1,0,No Label
"TCP: 172.16.105.71:57163,175.27.0.70:8081",17,12093.666666666666,36188,17037.283514561692,0,0,0,0,0,318.75,1275,552.0911949125797,0,0,0,0,6,36281,0,4,1275,1,0,No Label
"TCP: 172.16.105.71:56417,175.27.0.70:8081",18,11923.333333333334,35665,16787.917129756017,0,0,0,0,0,254.75,1019,441.2399432281715,0,0,0,0,6,35770,0,4,1019,1,0,No Label
"TCP: 172.16.105.71:64502,175.27.12.224:8081",76,12629.666666666666,37729,17747.909103766437,0,0,0,0,0,334.75,1339,579.8040078336817,0,0,0,0,6,37889,0,4,1339,1,0,No Label
